ID,Tipo,Carpeta,Hallazgo,Severidad,Impacto,Remedio,Estimado,Prioridad,Estado
1,Duplicación,Raíz,index.md es duplicado de INDEX.md,Crítico,Alto,Eliminar index.md,15m,P0,Pendiente
2,Duplicación,Raíz,spec_infra_001_cpython_precompilado.md duplica specs/SPEC_INFRA_001_*,Crítico,Alto,Mantener specs/; eliminar raíz,15m,P0,Pendiente
3,README-Faltante,adr/,No existe README en adr/,Alto,Medio,Crear adr/README.md,1h,P0,Pendiente
4,README-Faltante,plan/,No existe README en plan/ (solo en subcarpeta),Alto,Medio,Crear plan/README.md,1h,P0,Pendiente
5,README-Faltante,specs/,No existe README en specs/,Alto,Medio,Crear specs/README.md,1h,P0,Pendiente
6,README-Vacío,procedimientos/,README vacío sin contenido,Crítico,Alto,Llenar con lista de runbooks,2h,P0,Pendiente
7,README-Vacío,devops/,README vacío sin contenido,Crítico,Alto,Llenar con descripción de pipelines,2h,P0,Pendiente
8,README-Vacío,checklists/,README vacío sin contenido,Crítico,Alto,Llenar con lista de checklists,2h,P0,Pendiente
9,README-Vacío,solicitudes/,README vacío sin contenido,Crítico,Alto,Llenar con proceso de cambios,1h,P0,Pendiente
10,Frontmatter,Múltiple,17 archivos carecen de metadatos YAML,Medio,Medio,Normalizar frontmatter YAML estándar,8h,P1,Pendiente
11,ADR,adr/,Solo 1 ADR visible; sin índice,Crítico,Crítico,Crear adr/INDICE_ADRs.md y matriz,4h,P0,Pendiente
12,Cobertura-RNF,requisitos/,Faltan 7+ requisitos no funcionales (latencia,perf,seguridad,RTO/RPO),Alto,Alto,Crear plantillas RNF adicionales,6h,P1,Pendiente
13,Checklists,checklists/,Hardening incompleto (faltan Kubernetes y L3),Alto,Alto,Ampliar cobertura de checklists,4h,P1,Pendiente
14,Categorización,Raíz,15 archivos .md sin categorizar bien,Alto,Medio,Mover/reorganizar archivos raíz,4h,P1,Pendiente
15,Plantillas-QA,qa/,Plantillas creadas pero sin aplicar globalmente,Medio,Medio,Estandarizar plantillas en todos dominios,4h,P1,Pendiente
16,Trazabilidad,qa/,Falta matriz ADR-planes-tareas,Alto,Crítico,Crear qa/INDICE_QA.md y matriz,3h,P1,Pendiente
17,Ubicación,Raíz,TASK-017-layer3_* debería estar en qa/tareas/,Medio,Bajo,Mover TASK-017 a qa/tareas/,30m,P1,Pendiente
18,Ubicación,Raíz,ambientes_virtualizados.md es diseño; debería estar en diseno/,Bajo,Bajo,Mover a diseno/arquitectura/,30m,P2,Pendiente
19,Ubicación,Raíz,cpython_builder.md es específico de CPython,Bajo,Bajo,Mover a cpython_precompilado/,30m,P2,Pendiente
20,Ubicación,Raíz,cpython_development_guide.md es guía de desarrollo,Bajo,Bajo,Mover a workspace/ o guias/,30m,P2,Pendiente
21,Ubicación,Raíz,shell_scripts_constitution.md es procedimiento,Bajo,Bajo,Mover a procedimientos/,30m,P2,Pendiente
22,Ubicación,Raíz,implementation_report.md es reporte de ejecución,Bajo,Bajo,Mover a plan/planificacion_y_releases/,30m,P2,Pendiente
23,Ubicación,Raíz,storage_architecture.md es arquitectura,Bajo,Bajo,Mover a diseno/arquitectura/,30m,P2,Pendiente
24,Runbooks,procedimientos/,Runbooks dispersos o en carpetas incorrecctas,Medio,Alto,Centralizar en procedimientos/RUNBOOKS.md,3h,P2,Pendiente
25,Pipeline,devops/,IaC sin documentación (terraform/ansible),Crítico,Crítico,Crear devops/PIPELINE.md y devops/IAC.md,4h,P1,Pendiente
26,Roadmap,plan/,Sin roadmap trimestral visible,Medio,Medio,Crear plan/ROADMAP.md,2h,P2,Pendiente
27,Gobernanza,gobernanza/,lineamientos_gobernanza.md está en BORRADOR,Medio,Medio,Completar documento de gobernanza,4h,P2,Pendiente
28,Workspace,workspace/,Documentación minimal y sin ejemplos,Bajo,Bajo,Completar workspace/ con ejemplos,3h,P3,Pendiente
29,Archivo-Huérfano,devcontainer/,creation.log sin README explicativo,Bajo,Bajo,Crear devcontainer/logs/README.md,30m,P3,Pendiente
30,Diagrama,diseno/,PUML sin README explicativo,Bajo,Bajo,Crear diseno/diagramas/contexto/README.md,30m,P3,Pendiente
